# z      distance_modulus     err
    0.295600    40.942727     0.123000
    0.296490    41.067084     0.144600
    0.298430    41.023224     0.160450
    0.298590    41.054338     0.163300
    0.298800    40.736058     0.164250
    0.299110    40.830736     0.130100
    0.299480    40.874915     0.161400
    0.300040    41.060972     0.158850
    0.300060    41.426322     0.165250
    0.300120    40.978384     0.119350
    0.300780    40.835114     0.170400
    0.301430    40.934284     0.144500
    0.301560    41.044515     0.134950
    0.301580    41.012729     0.093900
    0.302490    40.895899     0.158250
    0.303170    41.004487     0.137650
    0.303370    40.937019     0.118650
    0.303690    40.861264     0.135000
    0.305250    41.048556     0.112900
    0.305380    41.120612     0.197650
    0.305490    41.048294     0.133050
    0.305670    40.965377     0.120150
    0.306170    41.048606     0.161350
    0.306420    41.099615     0.149300
    0.306660    41.163115     0.162700
    0.308010    41.314214     0.118200
    0.308800    41.062575     0.155250
    0.308940    41.035453     0.169300
    0.309000    41.019848     0.196850
    0.309200    41.134060     0.146200
    0.310320    41.136875     0.157950
    0.310790    41.379719     0.138450
    0.311560    41.304085     0.108250
    0.312620    41.253097     0.142950
    0.313530    40.989320     0.149450
    0.314370    41.242546     0.137000
    0.314680    41.405059     0.157200
    0.314800    40.944116     0.124850
    0.315550    41.017556     0.153550
    0.315790    41.198160     0.152200
    0.317740    41.321580     0.152100
    0.318110    41.156873     0.124650
    0.318410    40.839444     0.210850
    0.318940    41.039118     0.137000
    0.318940    41.016821     0.156650
    0.320070    41.164546     0.135800
    0.320920    41.053725     0.154950
    0.320950    41.133372     0.124500
    0.322180    41.056267     0.140250
    0.324540    41.182056     0.102250
    0.325290    41.350326     0.180900
    0.325310    41.145548     0.141050
    0.325530    41.123306     0.138400
    0.326010    41.201193     0.146400
    0.327530    41.368160     0.138550
    0.328320    40.985888     0.181550
    0.328400    40.968267     0.165750
    0.328410    40.971280     0.172450
    0.328910    41.691619     0.209550
    0.329440    41.501115     0.142950
    0.329440    41.193703     0.118950
    0.330150    41.400034     0.158900
    0.330590    41.404453     0.115300
